share_layer,sharing_weight,task,metric,percentage_rate
Without soft-sharing,0.25,emotion_predict,Precision,0.7568
Without soft-sharing,0.25,emotion_predict,Recall,0.6417
Without soft-sharing,0.25,emotion_predict,F1 Score,0.6916
Without soft-sharing,0.25,cause_predict,Precision,0.6694
Without soft-sharing,0.25,cause_predict,Recall,0.4698
Without soft-sharing,0.25,cause_predict,F1 Score,0.5484
Without soft-sharing,0.25,pair_predict,Precision,0.5486
Without soft-sharing,0.25,pair_predict,Recall,0.4927
Without soft-sharing,0.25,pair_predict,F1 Score,0.5178
Without soft-sharing,0.5,emotion_predict,Precision,0.7584
Without soft-sharing,0.5,emotion_predict,Recall,0.6264
Without soft-sharing,0.5,emotion_predict,F1 Score,0.6828
Without soft-sharing,0.5,cause_predict,Precision,0.7023
Without soft-sharing,0.5,cause_predict,Recall,0.4615
Without soft-sharing,0.5,cause_predict,F1 Score,0.5509
Without soft-sharing,0.5,pair_predict,Precision,0.5475
Without soft-sharing,0.5,pair_predict,Recall,0.5031
Without soft-sharing,0.5,pair_predict,F1 Score,0.5214
Without soft-sharing,0.75,emotion_predict,Precision,0.7638
Without soft-sharing,0.75,emotion_predict,Recall,0.6599
Without soft-sharing,0.75,emotion_predict,F1 Score,0.707
Without soft-sharing,0.75,cause_predict,Precision,0.6909
Without soft-sharing,0.75,cause_predict,Recall,0.4334
Without soft-sharing,0.75,cause_predict,F1 Score,0.5309
Without soft-sharing,0.75,pair_predict,Precision,0.5328
Without soft-sharing,0.75,pair_predict,Recall,0.5025
Without soft-sharing,0.75,pair_predict,F1 Score,0.5166
Without soft-sharing,1,emotion_predict,Precision,0.7492
Without soft-sharing,1,emotion_predict,Recall,0.656
Without soft-sharing,1,emotion_predict,F1 Score,0.6973
Without soft-sharing,1,cause_predict,Precision,0.7125
Without soft-sharing,1,cause_predict,Recall,0.425
Without soft-sharing,1,cause_predict,F1 Score,0.5263
Without soft-sharing,1,pair_predict,Precision,0.5627
Without soft-sharing,1,pair_predict,Recall,0.4895
Without soft-sharing,1,pair_predict,F1 Score,0.5211
Share first layer,0.25,emotion_predict,Precision,0.744
Share first layer,0.25,emotion_predict,Recall,0.6689
Share first layer,0.25,emotion_predict,F1 Score,0.7038
Share first layer,0.25,cause_predict,Precision,0.692
Share first layer,0.25,cause_predict,Recall,0.4511
Share first layer,0.25,cause_predict,F1 Score,0.5433
Share first layer,0.25,pair_predict,Precision,0.553
Share first layer,0.25,pair_predict,Recall,0.4996
Share first layer,0.25,pair_predict,F1 Score,0.524
Share first layer,0.5,emotion_predict,Precision,0.7735
Share first layer,0.5,emotion_predict,Recall,0.6515
Share first layer,0.5,emotion_predict,F1 Score,0.7067
Share first layer,0.5,cause_predict,Precision,0.7006
Share first layer,0.5,cause_predict,Recall,0.4279
Share first layer,0.5,cause_predict,F1 Score,0.5253
Share first layer,0.5,pair_predict,Precision,0.5433
Share first layer,0.5,pair_predict,Recall,0.5053
Share first layer,0.5,pair_predict,F1 Score,0.5229
Share first layer,0.75,emotion_predict,Precision,0.7547
Share first layer,0.75,emotion_predict,Recall,0.6574
Share first layer,0.75,emotion_predict,F1 Score,0.7011
Share first layer,0.75,cause_predict,Precision,0.7284
Share first layer,0.75,cause_predict,Recall,0.4049
Share first layer,0.75,cause_predict,F1 Score,0.5136
Share first layer,0.75,pair_predict,Precision,0.5552
Share first layer,0.75,pair_predict,Recall,0.4902
Share first layer,0.75,pair_predict,F1 Score,0.518
Share first layer,1,emotion_predict,Precision,0.7522
Share first layer,1,emotion_predict,Recall,0.6633
Share first layer,1,emotion_predict,F1 Score,0.7039
Share first layer,1,cause_predict,Precision,0.6836
Share first layer,1,cause_predict,Recall,0.471
Share first layer,1,cause_predict,F1 Score,0.5514
Share first layer,1,pair_predict,Precision,0.5402
Share first layer,1,pair_predict,Recall,0.4998
Share first layer,1,pair_predict,F1 Score,0.5176
Share all layers,0.25,emotion_predict,Precision,0.7446
Share all layers,0.25,emotion_predict,Recall,0.6546
Share all layers,0.25,emotion_predict,F1 Score,0.6953
Share all layers,0.25,cause_predict,Precision,0.7111
Share all layers,0.25,cause_predict,Recall,0.4145
Share all layers,0.25,cause_predict,F1 Score,0.5189
Share all layers,0.25,pair_predict,Precision,0.5758
Share all layers,0.25,pair_predict,Recall,0.4757
Share all layers,0.25,pair_predict,F1 Score,0.5182
Share all layers,0.5,emotion_predict,Precision,0.7444
Share all layers,0.5,emotion_predict,Recall,0.6521
Share all layers,0.5,emotion_predict,F1 Score,0.694
Share all layers,0.5,cause_predict,Precision,0.6783
Share all layers,0.5,cause_predict,Recall,0.4442
Share all layers,0.5,cause_predict,F1 Score,0.5265
Share all layers,0.5,pair_predict,Precision,0.5552
Share all layers,0.5,pair_predict,Recall,0.4805
Share all layers,0.5,pair_predict,F1 Score,0.5137
Share all layers,0.75,emotion_predict,Precision,0.7228
Share all layers,0.75,emotion_predict,Recall,0.6231
Share all layers,0.75,emotion_predict,F1 Score,0.6667
Share all layers,0.75,cause_predict,Precision,0.6947
Share all layers,0.75,cause_predict,Recall,0.449
Share all layers,0.75,cause_predict,F1 Score,0.5374
Share all layers,0.75,pair_predict,Precision,0.5661
Share all layers,0.75,pair_predict,Recall,0.4794
Share all layers,0.75,pair_predict,F1 Score,0.5152
Share all layers,1,emotion_predict,Precision,0.736
Share all layers,1,emotion_predict,Recall,0.6256
Share all layers,1,emotion_predict,F1 Score,0.673
Share all layers,1,cause_predict,Precision,0.6803
Share all layers,1,cause_predict,Recall,0.4318
Share all layers,1,cause_predict,F1 Score,0.5235
Share all layers,1,pair_predict,Precision,0.5573
Share all layers,1,pair_predict,Recall,0.4895
Share all layers,1,pair_predict,F1 Score,0.5199
Share first layer,0.1,emotion_predict,Precision,0.7405
Share first layer,0.1,emotion_predict,Recall,0.6759
Share first layer,0.1,emotion_predict,F1 Score,0.7052
Share first layer,0.1,cause_predict,Precision,0.6978
Share first layer,0.1,cause_predict,Recall,0.4523
Share first layer,0.1,cause_predict,F1 Score,0.5412
Share first layer,0.1,pair_predict,Precision,0.532
Share first layer,0.1,pair_predict,Recall,0.5086
Share first layer,0.1,pair_predict,F1 Score,0.5191
Share first layer,0.2,emotion_predict,Precision,0.771
Share first layer,0.2,emotion_predict,Recall,0.6403
Share first layer,0.2,emotion_predict,F1 Score,0.6974
Share first layer,0.2,cause_predict,Precision,0.7048
Share first layer,0.2,cause_predict,Recall,0.4195
Share first layer,0.2,cause_predict,F1 Score,0.5179
Share first layer,0.2,pair_predict,Precision,0.5452
Share first layer,0.2,pair_predict,Recall,0.5022
Share first layer,0.2,pair_predict,F1 Score,0.5198
Share first layer,0.3,emotion_predict,Precision,0.7594
Share first layer,0.3,emotion_predict,Recall,0.6602
Share first layer,0.3,emotion_predict,F1 Score,0.705
Share first layer,0.3,cause_predict,Precision,0.7063
Share first layer,0.3,cause_predict,Recall,0.4408
Share first layer,0.3,cause_predict,F1 Score,0.5406
Share first layer,0.3,pair_predict,Precision,0.5598
Share first layer,0.3,pair_predict,Recall,0.4852
Share first layer,0.3,pair_predict,F1 Score,0.5173
Share first layer,0.4,emotion_predict,Precision,0.7568
Share first layer,0.4,emotion_predict,Recall,0.6592
Share first layer,0.4,emotion_predict,F1 Score,0.7038
Share first layer,0.4,cause_predict,Precision,0.7167
Share first layer,0.4,cause_predict,Recall,0.4352
Share first layer,0.4,cause_predict,F1 Score,0.5369
Share first layer,0.4,pair_predict,Precision,0.5645
Share first layer,0.4,pair_predict,Recall,0.4814
Share first layer,0.4,pair_predict,F1 Score,0.5193
Share first layer,0.6,emotion_predict,Precision,0.7657
Share first layer,0.6,emotion_predict,Recall,0.6465
Share first layer,0.6,emotion_predict,F1 Score,0.6979
Share first layer,0.6,cause_predict,Precision,0.7157
Share first layer,0.6,cause_predict,Recall,0.4195
Share first layer,0.6,cause_predict,F1 Score,0.5275
Share first layer,0.6,pair_predict,Precision,0.5578
Share first layer,0.6,pair_predict,Recall,0.487
Share first layer,0.6,pair_predict,F1 Score,0.5189
Share first layer,0.7,emotion_predict,Precision,0.7495
Share first layer,0.7,emotion_predict,Recall,0.6595
Share first layer,0.7,emotion_predict,F1 Score,0.7003
Share first layer,0.7,cause_predict,Precision,0.7148
Share first layer,0.7,cause_predict,Recall,0.4179
Share first layer,0.7,cause_predict,F1 Score,0.524
Share first layer,0.7,pair_predict,Precision,0.5679
Share first layer,0.7,pair_predict,Recall,0.4797
Share first layer,0.7,pair_predict,F1 Score,0.5181
Share first layer,0.8,emotion_predict,Precision,0.7541
Share first layer,0.8,emotion_predict,Recall,0.6521
Share first layer,0.8,emotion_predict,F1 Score,0.6985
Share first layer,0.8,cause_predict,Precision,0.6931
Share first layer,0.8,cause_predict,Recall,0.4441
Share first layer,0.8,cause_predict,F1 Score,0.5397
Share first layer,0.8,pair_predict,Precision,0.5536
Share first layer,0.8,pair_predict,Recall,0.4902
Share first layer,0.8,pair_predict,F1 Score,0.5183
Share first layer,0.9,emotion_predict,Precision,0.7573
Share first layer,0.9,emotion_predict,Recall,0.6601
Share first layer,0.9,emotion_predict,F1 Score,0.7045
Share first layer,0.9,cause_predict,Precision,0.7018
Share first layer,0.9,cause_predict,Recall,0.4436
Share first layer,0.9,cause_predict,F1 Score,0.5403
Share first layer,0.9,pair_predict,Precision,0.5472
Share first layer,0.9,pair_predict,Recall,0.5026
Share first layer,0.9,pair_predict,F1 Score,0.5222
Share first layer,0.1,emotion_predict,Precision,0.7444
Share first layer,0.1,emotion_predict,Recall,0.6591
Share first layer,0.1,emotion_predict,F1 Score,0.6969
Share first layer,0.1,cause_predict,Precision,0.6885
Share first layer,0.1,cause_predict,Recall,0.445
